FOP Profile,Профіль ФОП,
UA KVED,КВЕД,
UA Tax Parameters,Податкові параметри УА,
Active,Активний,
Suspended,Призупинено,
Closed,Закрито,
Creation of {1}(s) successful,Створення {1} успішне,
{0} Coupon used are {1}. Allowed quantity is exhausted,Купон {0} використано {1} раз(и). Дозволену кількість вичерпано.,
{0} Number {1} is already used in {2} {3},Номер {0} {1} вже використовується в {2} {3},
Blocked,Заблоковано,
Close Shift,Закриття зміни,
Closed Offline,Закрито офлайн,
Closing,Закривається,
Confirmed,Підтверджено,
Disabled,Вимкнено,
DocType,Тип документа,
Expired,Термін дії минув,
Fiscalized,Фіскалізовано,
Not Sent,Не відправлено,
Offline,Офлайн,
Offline Begin,Початок офлайн-режиму,
Offline End,Завершення офлайн-режиму,
Online,Онлайн,
Open Shift,Відкриття зміни,
Opening,Відкривається,
POS Operational Shift,Робоча зміна каси,
POS Order,Касовий чек,
POS Profile,Профіль точки продажу,
PRRO Cash Register,Каса ПРРО,
PRRO Offline Session,Офлайн-сесія ПРРО,
PRRO Receipt,Фіскальний документ ПРРО,
PRRO Settings,Налаштування ПРРО,
PRRO Shift,Фіскальна зміна ПРРО,
Recovering,Відновлення зв’язку,
Sale,Продаж,
Sending,Надсилається,
Service In,Службове внесення,
Service Out,Службова видача,
Storno,Сторно,
UA Fiscal,Фіскалізація ПРРО,
UA KEP Key,Ключ КЕП,
Uncertain,Потребує перевірки,
Z Report,Z-звіт,
